Timestamp,Difficulty [Introduction to Programming I],Difficulty [Introduction to Programming II],Difficulty [Computational Mathematics],Difficulty [Discrete Mathematics],Difficulty [Fundamentals of Computer Science],Difficulty [How Computers Work],Difficulty [Algorithms and Data Structures I],Difficulty [Web Development],Time [Introduction to Programming I],Time [Introduction to Programming II],Time [Computational Mathematics],Time [Discrete Mathematics],Time [Fundamentals of Computer Science],Time [How Computers Work],Time [Algorithms and Data Structures I],Time [Web Development],Quality [Introduction to Programming I],Quality [Introduction to Programming II],Quality [Computational Mathematics],Quality [Discrete Mathematics],Quality [Fundamentals of Computer Science],Quality [How Computers Work],Quality [Algorithms and Data Structures I],Quality [Web Development],Self-Learning [Introduction to Programming I],Self-Learning [Introduction to Programming II],Self-Learning [Computational Mathematics],Self-Learning [Discrete Mathematics],Self-Learning [Fundamentals of Computer Science],Self-Learning [How Computers Work],Self-Learning [Algorithms and Data Structures I],Self-Learning [Web Development],Learning [Introduction to Programming I],Learning [Introduction to Programming II],Learning [Computational Mathematics],Learning [Discrete Mathematics],Learning [Fundamentals of Computer Science],Learning [How Computers Work],Learning [Algorithms and Data Structures I],Learning [Web Development],Interest [Introduction to Programming I],Interest [Introduction to Programming II],Interest [Computational Mathematics],Interest [Discrete Mathematics],Interest [Fundamentals of Computer Science],Interest [How Computers Work],Interest [Algorithms and Data Structures I],Interest [Web Development]
07/04/2022 01:12:48,,,Easy,,Moderate,Easy,,Easy,,,2-4,,2-4,2-4,,2-4,,,Very Poor,,Poor,Good,,Very Poor,,,Not at all,,Hardly sufficient,Mostly sufficient,,Not at all,,,Nothing,,A Little,A Good Amount,,A Little,,,Boring,,Fine,Interesting,,Very Boring
07/04/2022 01:02:53,Moderate,,,Very Difficult,,,,,10+,,,6-8,,,,,Very Good,,,Poor,,,,,Mostly sufficient,,,Hardly sufficient,,,,,A Lot,,,A Lot,,,,,Very Interesting,,,Fine,,,,
07/04/2022 01:03:43,Very Easy,Difficult,Easy,Moderate,Difficult,,Moderate,Moderate,0-2,6-8,2-4,6-8,6-8,,2-4,10+,Normal,Normal,Poor,Normal,Normal,,Normal,Poor,Totally sufficient,Hardly sufficient,Just sufficient,Just sufficient,Just sufficient,,Mostly sufficient,Not at all,A Little,A Good Amount,A Little,A Good Amount,A Good Amount,,A Good Amount,A Little,Very Interesting,Very Interesting,Very Interesting,Very Interesting,Interesting,,Very Interesting,Fine
07/04/2022 01:15:39,Very Easy,Easy,Difficult,Moderate,Very Difficult,,Easy,Moderate,0-2,4-6,8-10,6-8,8-10,,0-2,4-6,Good,Poor,Normal,Normal,Very Poor,,Good,Very Poor,Totally sufficient,Mostly sufficient,Hardly sufficient,Just sufficient,Not at all,,Mostly sufficient,Not at all,A Little,Nothing,A Good Amount,A Little,A Lot,,A Little,A Little,Fine,Very Boring,Interesting,Boring,Very Interesting,,Fine,Boring
07/04/2022 01:17:02,Very Easy,Moderate,Difficult,Difficult,Very Difficult,,Difficult,Easy,0-2,10+,4-6,8-10,4-6,,6-8,6-8,Good,Normal,Normal,Normal,Normal,,Very Good,Poor,Totally sufficient,Hardly sufficient,Hardly sufficient,Just sufficient,Not at all,,Mostly sufficient,Not at all,A Good Amount,A Lot,A Little,A Lot,Nothing,,A Lot,Nothing,Fine,Boring,Very Boring,Boring,Very Boring,,Very Interesting,Very Boring
07/04/2022 01:25:06,Very Easy,Easy,Moderate,Moderate,Moderate,Very Easy,Moderate,Very Easy,4-6,6-8,6-8,6-8,6-8,0-2,6-8,8-10,Very Poor,Poor,Good,Good,Good,Very Poor,Good,Very Poor,Totally sufficient,Totally sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Totally sufficient,Mostly sufficient,Not at all,Nothing,Nothing,A Good Amount,A Good Amount,A Good Amount,Nothing,A Good Amount,Nothing,Very Boring,Very Boring,Interesting,Interesting,Interesting,Very Boring,Interesting,Very Boring
07/04/2022 01:32:39,Very Easy,Moderate,Easy,Moderate,Moderate,Not Applicable,Easy,Easy,4-6,6-8,6-8,6-8,4-6,Not Applicable,6-8,6-8,Very Good,Poor,Normal,Poor,Poor,Not Applicable,Very Good,Very Poor,Totally sufficient,Just sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Not Applicable,Totally sufficient,Hardly sufficient,A Lot,A Little,A Good Amount,A Good Amount,A Good Amount,Not Applicable,A Lot,Nothing,Very Interesting,Interesting,Fine,Interesting,Interesting,Not Applicable,Very Interesting,Very Boring
07/04/2022 01:51:41,Easy,Moderate,Moderate,Moderate,Difficult,Not Applicable,Moderate,Easy,,,,,,,,,Poor,Normal,Good,Very Good,Poor,Not Applicable,Good,Very Poor,Mostly sufficient,Mostly sufficient,Hardly sufficient,Mostly sufficient,Hardly sufficient,Not Applicable,Mostly sufficient,Just sufficient,A Little,A Good Amount,A Good Amount,A Lot,Not Applicable,A Good Amount,A Good Amount,A Little,Boring,Interesting,Interesting,Very Interesting,Not Applicable,Fine,Interesting,Boring
07/04/2022 03:33:07,Very Easy,Easy,Moderate,Moderate,Moderate,Not Applicable,Easy,Easy,0-2,0-2,10+,10+,10+,Not Applicable,6-8,0-2,Very Good,Good,Normal,Good,Good,Not Applicable,Good,Very Poor,Totally sufficient,Totally sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Not Applicable,Totally sufficient,Not at all,A Little,A Good Amount,A Lot,A Lot,A Lot,Not Applicable,A Lot,Nothing,Very Interesting,Very Interesting,Interesting,Interesting,Interesting,Not Applicable,Very Interesting,Very Boring
07/04/2022 05:47:40,Easy,Very Difficult,Moderate,Difficult,Difficult,Not Applicable,Very Difficult,Very Easy,4-6,6-8,6-8,6-8,2-4,Not Applicable,4-6,0-2,Good,Poor,Poor,Very Poor,Good,Not Applicable,Very Good,,Mostly sufficient,Hardly sufficient,Hardly sufficient,Hardly sufficient,Totally sufficient,Not Applicable,Just sufficient,,A Good Amount,A Little,A Good Amount,A Good Amount,A Lot,Not Applicable,A Lot,A Good Amount,Interesting,Boring,Very Interesting,Interesting,Very Boring,Not Applicable,Very Boring,Very Interesting
