Timestamp,Difficulty [Object Oriented Programming],Difficulty [Software Design and Development],Difficulty [Programming with Data],Difficulty [Agile Software Projects],Difficulty [Computer Security],Difficulty [Graphics Programming],Difficulty [Algorithms and Data Structures II],"Difficulty [Databases, Networks and the Web]",Time [Object Oriented Programming],Time [Software Design and Development],Time [Programming with Data],Time [Agile Software Projects],Time [Computer Security],Time [Graphics Programming],Time [Algorithms and Data Structures II],"Time [Databases, Networks and the Web]",Quality [Object Oriented Programming],Quality [Software Design and Development],Quality [Programming with Data],Quality [Agile Software Projects],Quality [Computer Security],Quality [Graphics Programming],Quality [Algorithms and Data Structures II],"Quality [Databases, Networks and the Web]",Self-Learning [Object Oriented Programming],Self-Learning [Software Design and Development],Self-Learning [Programming with Data],Self-Learning [Agile Software Projects],Self-Learning [Computer Security],Self-Learning [Graphics Programming],Self-Learning [Algorithms and Data Structures II],"Self-Learning [Databases, Networks and the Web]",Learning [Object Oriented Programming],Learning [Software Design and Development],Learning [Programming with Data],Learning [Agile Software Projects],Learning [Computer Security],Learning [Graphics Programming],Learning [Algorithms and Data Structures II],"Learning [Databases, Networks and the Web]",Interest [Object Oriented Programming],Interest [Software Design and Development],Interest [Programming with Data],Interest [Agile Software Projects],Interest [Computer Security],Interest [Graphics Programming],Interest [Algorithms and Data Structures II],"Interest [Databases, Networks and the Web]"
31/03/2022 00:07:34,Difficult,Easy,Difficult,Moderate,Easy,Easy,Difficult,Difficult,8-10,2-4,4-6,2-4,0-2,4-6,2-4,4-6,Good,Good,Very Poor,Very Poor,Poor,Very Good,Good,Normal,Mostly sufficient,Totally sufficient,Not at all,Not at all,Mostly sufficient,Totally sufficient,Mostly sufficient,Just sufficient,A Good Amount,A Good Amount,A Lot,A Little,A Little,A Lot,A Good Amount,A Good Amount,Fine,Interesting,Very Boring,Boring,Boring,Very Interesting,Interesting,Interesting
30/03/2022 23:58:07,Moderate,Moderate,Easy,Difficult,Very Easy,Very Easy,Moderate,Very Easy,2-4,0-2,4-6,10+,0-2,0-2,2-4,0-2,Good,Very Poor,Poor,Poor,Poor,Very Good,Good,Normal,Just sufficient,Totally sufficient,Hardly sufficient,Not at all,Hardly sufficient,Totally sufficient,Totally sufficient,Mostly sufficient,A Little,Nothing,Nothing,Nothing,Nothing,Nothing,A Little,Nothing,Very Interesting,Fine,Very Boring,Very Boring,Boring,Very Interesting,Interesting,Fine
31/03/2022 00:00:40,Difficult,Easy,Difficult,Difficult,Easy,Easy,Moderate,Moderate,8-10,2-4,6-8,10+,6-8,8-10,6-8,8-10,Good,Normal,Very Poor,Very Poor,Normal,Very Good,Good,Poor,Just sufficient,Mostly sufficient,Hardly sufficient,Not at all,Just sufficient,Totally sufficient,Totally sufficient,Mostly sufficient,A Good Amount,A Little,Nothing,Nothing,A Little,A Lot,A Lot,A Little,Very Interesting,Fine,Very Boring,Very Boring,Fine,Very Interesting,Interesting,Fine
31/03/2022 00:14:37,Difficult,Moderate,Easy,Moderate,Easy,Easy,Moderate,Easy,4-6,6-8,0-2,2-4,0-2,2-4,6-8,2-4,Good,Normal,Normal,Very Poor,Poor,Good,Good,Normal,Mostly sufficient,Mostly sufficient,Hardly sufficient,Not at all,Mostly sufficient,Totally sufficient,Just sufficient,Mostly sufficient,A Good Amount,A Little,A Little,Nothing,A Little,A Good Amount,A Good Amount,A Good Amount,Interesting,Fine,Fine,Very Boring,Boring,Interesting,Interesting,Fine
31/03/2022 00:34:24,Difficult,Easy,,,,,Very Difficult,,4-6,0-2,,,,,2-4,,Good,Normal,,,,,Very Good,,Mostly sufficient,Mostly sufficient,,,,,Totally sufficient,,A Lot,A Good Amount,,,,,A Good Amount,,Interesting,Fine,,,,,Very Interesting,
31/03/2022 01:28:16,Moderate,,Easy,,,Easy,Difficult,,10+,,8-10,,,8-10,8-10,,Very Good,,Good,,,Good,Very Poor,,Mostly sufficient,,Mostly sufficient,,,Mostly sufficient,Not at all,,A Lot,,A Lot,,,A Good Amount,Nothing,,Very Interesting,,Interesting,,,Interesting,Very Boring,
31/03/2022 03:34:17,Difficult,Moderate,,,,Easy,Moderate,,10+,6-8,,,,6-8,8-10,,Very Good,Very Good,,,,Very Good,Good,,Mostly sufficient,Totally sufficient,,,,Totally sufficient,Totally sufficient,,A Good Amount,A Good Amount,,,,A Lot,A Lot,,Very Interesting,Very Interesting,,,,Very Interesting,Very Interesting,
31/03/2022 06:02:30,Difficult,Moderate,Moderate,Easy,Moderate,Easy,Moderate,Easy,10+,4-6,6-8,6-8,2-4,2-4,4-6,4-6,Good,Good,Very Poor,Very Poor,Normal,Very Good,Very Good,Very Good,Totally sufficient,Totally sufficient,Not at all,Just sufficient,Mostly sufficient,Totally sufficient,Totally sufficient,Totally sufficient,A Good Amount,A Good Amount,A Good Amount,Nothing,A Good Amount,A Good Amount,A Good Amount,A Good Amount,Interesting,Interesting,Interesting,Very Boring,Interesting,Interesting,Interesting,Interesting
31/03/2022 09:44:04,,Very Easy,,,,,Very Difficult,Moderate,,0-2,,,,,6-8,8-10,,Poor,,,,,Very Good,Good,,Mostly sufficient,,,,,Hardly sufficient,Mostly sufficient,,A Good Amount,,,,,A Good Amount,Nothing,,Very Boring,,,,,Fine,Very Boring
31/03/2022 10:52:52,Very Difficult,Difficult,Very Difficult,,Difficult,,Very Difficult,Moderate,10+,8-10,8-10,,8-10,,8-10,6-8,Very Good,Good,Very Good,,Very Good,,Good,Good,Mostly sufficient,Mostly sufficient,Hardly sufficient,,Just sufficient,,Mostly sufficient,Mostly sufficient,A Lot,A Lot,A Lot,,A Good Amount,,A Good Amount,A Little,Very Interesting,Fine,Very Interesting,,Interesting,,Interesting,Fine
31/03/2022 11:09:42,Difficult,Moderate,Moderate,Very Difficult,Easy,Very Easy,Easy,Easy,8-10,2-4,4-6,6-8,2-4,2-4,2-4,2-4,Very Good,Good,Poor,Very Poor,Normal,Very Good,Good,Normal,Mostly sufficient,Totally sufficient,Hardly sufficient,Hardly sufficient,Totally sufficient,Mostly sufficient,Totally sufficient,Mostly sufficient,A Lot,A Little,A Little,Nothing,A Good Amount,A Good Amount,A Lot,A Little,Very Interesting,Fine,Fine,Very Boring,Interesting,Very Interesting,Very Interesting,Boring
31/03/2022 11:10:43,Moderate,Easy,Moderate,Difficult,Easy,Moderate,Moderate,Easy,6-8,2-4,2-4,6-8,0-2,4-6,0-2,2-4,Good,Good,Poor,Very Poor,Good,Good,Good,Normal,Mostly sufficient,Totally sufficient,Not at all,Not at all,Totally sufficient,Mostly sufficient,Totally sufficient,Just sufficient,A Lot,A Good Amount,A Little,Nothing,A Little,A Little,A Lot,A Good Amount,Very Interesting,Interesting,Very Boring,Very Boring,Interesting,Very Interesting,Fine,Fine
31/03/2022 11:57:35,Very Difficult,,,,,,Moderate,,10+,,,,,,6-8,,Normal,,,,,,Normal,,Not at all,,,,,,Just sufficient,,A Little,,,,,,A Good Amount,,Very Interesting,,,,,,Fine,
31/03/2022 13:56:45,Difficult,Moderate,Moderate,Difficult,Moderate,Easy,Easy,Easy,4-6,2-4,2-4,4-6,2-4,0-2,2-4,0-2,Good,Normal,Very Poor,Very Poor,Normal,Very Good,Very Good,Normal,Hardly sufficient,Just sufficient,Not at all,Not at all,Just sufficient,Totally sufficient,Totally sufficient,Mostly sufficient,A Lot,A Good Amount,A Good Amount,Nothing,A Good Amount,A Good Amount,A Good Amount,A Good Amount,Interesting,Interesting,Interesting,Boring,Fine,Very Interesting,Interesting,Fine
31/03/2022 16:11:40,Difficult,Very Easy,Easy,Moderate,Easy,Very Easy,Moderate,Moderate,2-4,0-2,2-4,2-4,0-2,2-4,2-4,2-4,Very Good,Normal,Normal,Poor,Normal,Good,Poor,Good,Just sufficient,Mostly sufficient,Hardly sufficient,Hardly sufficient,Totally sufficient,Totally sufficient,Just sufficient,Just sufficient,A Lot,A Good Amount,A Good Amount,Nothing,A Little,A Good Amount,A Good Amount,A Good Amount,Very Interesting,Interesting,Fine,Very Boring,Fine,Interesting,Fine,Fine
31/03/2022 16:29:08,Very Difficult,Moderate,Difficult,Difficult,Easy,Moderate,Moderate,Difficult,10+,6-8,10+,10+,2-4,6-8,6-8,10+,Normal,Normal,Good,Normal,Normal,Very Good,Normal,Normal,Hardly sufficient,Mostly sufficient,Mostly sufficient,Just sufficient,Mostly sufficient,Totally sufficient,Mostly sufficient,Just sufficient,A Good Amount,A Good Amount,A Good Amount,A Lot,A Good Amount,A Lot,A Lot,A Little,Interesting,Interesting,Interesting,Boring,Fine,Very Interesting,Interesting,Boring
31/03/2022 17:12:54,Difficult,,,Easy,,,Difficult,Moderate,4-6,,,4-6,,,2-4,2-4,Very Good,,,Poor,,,Good,Normal,Mostly sufficient,,,Not at all,,,Mostly sufficient,Totally sufficient,A Good Amount,,,A Little,,,A Good Amount,A Good Amount,Very Interesting,,,Boring,,,Fine,Interesting
01/04/2022 08:38:40,Difficult,Moderate,Difficult,,,Easy,Moderate,,8-10,4-6,8-10,,,2-4,4-6,,Good,Good,Very Poor,,,Very Good,Good,,Mostly sufficient,Mostly sufficient,Not at all,,,Totally sufficient,Mostly sufficient,,A Lot,A Good Amount,A Good Amount,,,A Good Amount,A Good Amount,,Very Interesting,Fine,Very Boring,,,Very Interesting,Fine,
01/04/2022 21:39:01,,Moderate,,,,,,,,2-4,,,,,,,,Good,,,,,,,,Totally sufficient,,,,,,,,A Good Amount,,,,,,,,Interesting,,,,,,
02/04/2022 17:22:38,Difficult,Moderate,Moderate,Moderate,Easy,Easy,Difficult,Moderate,10+,4-6,4-6,8-10,2-4,4-6,8-10,6-8,Good,Normal,Normal,Very Poor,Normal,Very Good,Good,Poor,Mostly sufficient,Just sufficient,Just sufficient,Hardly sufficient,Mostly sufficient,Mostly sufficient,Just sufficient,Just sufficient,A Lot,A Little,A Lot,A Good Amount,A Little,A Little,A Lot,A Good Amount,Interesting,Fine,Very Interesting,Boring,Fine,Fine,Fine,Fine
07/04/2022 01:03:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/04/2022 01:30:05,Easy,Very Easy,Easy,Very Easy,Moderate,Easy,Difficult,Very Easy,10+,6-8,6-8,10+,2-4,2-4,2-4,0-2,Good,Very Poor,Poor,Very Poor,Good,Good,Good,Poor,Just sufficient,Just sufficient,Hardly sufficient,Not at all,Mostly sufficient,Just sufficient,Mostly sufficient,Just sufficient,A Little,Nothing,Nothing,Nothing,A Good Amount,Nothing,A Good Amount,Nothing,Fine,Boring,Fine,Very Boring,Interesting,Boring,Interesting,Very Boring
10/03/2023 17:20:04,Moderate,,Easy,Very Difficult,Easy,Very Easy,Moderate,Easy,4-6,,2-4,10+,2-4,0-2,4-6,4-6,Very Good,Good,Poor,Very Poor,Poor,Normal,Poor,Normal,Mostly sufficient,Mostly sufficient,Hardly sufficient,Not at all,Mostly sufficient,Mostly sufficient,Hardly sufficient,Mostly sufficient,A Good Amount,A Good Amount,A Good Amount,Nothing,A Little,A Little,A Little,A Good Amount,Very Interesting,Interesting,Interesting,Very Boring,Boring,Fine,Fine,Interesting
15/04/2022 19:01:47,Difficult,Moderate,Moderate,Moderate,Easy,Easy,Easy,Easy,8-10,2-4,4-6,6-8,2-4,2-4,4-6,2-4,Very Good,Very Good,Normal,Poor,Normal,Very Good,Very Good,Normal,Totally sufficient,Totally sufficient,Mostly sufficient,Hardly sufficient,Mostly sufficient,Totally sufficient,Mostly sufficient,Totally sufficient,A Lot,A Good Amount,A Little,A Little,A Little,A Good Amount,A Good Amount,A Good Amount,Very Interesting,Very Interesting,Interesting,Boring,Fine,Very Interesting,Interesting,Fine
01/07/2022 09:26:12,Very Difficult,Moderate,Not Applicable,Difficult,Moderate,Not Applicable,Difficult,Not Applicable,6-8,4-6,4-6,4-6,4-6,Not Applicable,6-8,Not Applicable,Good,Very Good,Not Applicable,Good,Very Good,Not Applicable,Very Good,Not Applicable,Just sufficient,Mostly sufficient,Not Applicable,Just sufficient,Mostly sufficient,Not Applicable,Totally sufficient,Not Applicable,A Little,A Good Amount,Not Applicable,A Lot,A Lot,Not Applicable,A Lot,Not Applicable,Fine,Interesting,Not Applicable,Interesting,Very Interesting,Not Applicable,Interesting,Not Applicable
15/07/2022 20:30:51,Moderate,Very Easy,Easy,Difficult,Very Easy,Moderate,Difficult,Very Easy,4-6,2-4,2-4,4-6,0-2,2-4,4-6,0-2,Good,Normal,Poor,Very Poor,Normal,Good,Normal,Normal,Hardly sufficient,Mostly sufficient,Hardly sufficient,Not at all,Mostly sufficient,Mostly sufficient,Mostly sufficient,Just sufficient,A Little,Nothing,A Little,Nothing,A Little,A Good Amount,A Good Amount,A Little,Interesting,Boring,Boring,Very Boring,Interesting,Fine,Fine,Fine
27/07/2022 17:19:46,Moderate,Moderate,Difficult,Difficult,Easy,Very Easy,Easy,Moderate,6-8,4-6,4-6,4-6,2-4,0-2,4-6,4-6,Very Good,Normal,Very Poor,Very Poor,Normal,Good,Good,Poor,Totally sufficient,Just sufficient,Not at all,Not at all,Mostly sufficient,Mostly sufficient,Mostly sufficient,Hardly sufficient,A Lot,A Little,A Little,Nothing,A Little,A Good Amount,A Good Amount,A Little,Very Interesting,Fine,Very Boring,Very Boring,Fine,Interesting,Interesting,Fine
09/08/2022 20:53:31,Very Difficult,Difficult,,,,,Very Difficult,Very Difficult,10+,8-10,,,,,10+,10+,Very Good,Normal,,,,,Good,Poor,Totally sufficient,Mostly sufficient,,,,,Mostly sufficient,Mostly sufficient,A Lot,A Little,,,,,A Good Amount,A Good Amount,Very Interesting,Boring,,,,,Fine,Fine
09/08/2022 22:56:03,Very Difficult,Easy,Moderate,Difficult,Easy,Easy,Very Difficult,Easy,10+,2-4,10+,10+,2-4,4-6,10+,4-6,Good,Normal,Very Poor,Very Poor,Normal,Very Good,Normal,Poor,Mostly sufficient,Just sufficient,Hardly sufficient,Not at all,Just sufficient,Totally sufficient,Mostly sufficient,Hardly sufficient,A Lot,A Good Amount,A Little,Nothing,A Good Amount,A Lot,A Good Amount,A Little,Very Interesting,Interesting,Very Boring,Very Boring,Interesting,Very Interesting,Fine,Fine
10/08/2022 00:38:40,Difficult,,,,,,Moderate,,8-10,,,,,,2-4,,Good,,,,,,Good,,Mostly sufficient,,,,,,Just sufficient,,A Lot,,,,,,A Little,,Very Interesting,,,,,,Fine,
11/08/2022 11:36:56,Very Difficult,Moderate,Difficult,Difficult,Difficult,Easy,Very Difficult,Very Easy,8-10,4-6,8-10,4-6,6-8,2-4,8-10,2-4,Very Good,Very Good,Poor,Poor,Normal,Very Good,Good,Normal,Just sufficient,Mostly sufficient,Hardly sufficient,Just sufficient,Mostly sufficient,Totally sufficient,Mostly sufficient,Totally sufficient,A Lot,A Lot,A Good Amount,Nothing,A Good Amount,A Lot,A Lot,A Good Amount,Very Interesting,Very Interesting,Boring,Very Boring,Fine,Very Interesting,Fine,Fine
28/11/2022 19:30:12,Very Difficult,Difficult,Very Difficult,Difficult,Easy,Moderate,Very Difficult,Difficult,8-10,8-10,8-10,6-8,2-4,4-6,8-10,8-10,Very Good,Very Good,Good,Poor,Very Good,Very Good,Good,Very Good,Just sufficient,Mostly sufficient,Mostly sufficient,Just sufficient,Totally sufficient,Totally sufficient,Totally sufficient,Totally sufficient,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,A Lot,Very Interesting,Very Interesting,Interesting,Fine,Very Interesting,Fine,Fine,Fine
04/01/2023 21:37:55,Not Applicable,Easy,Moderate,Not Applicable,Not Applicable,Not Applicable,Difficult,Easy,Not Applicable,2-4,2-4,Not Applicable,Not Applicable,Not Applicable,2-4,0-2,Not Applicable,Very Good,Normal,Not Applicable,Not Applicable,Not Applicable,Good,Good,Not Applicable,Totally sufficient,Hardly sufficient,Not Applicable,Not Applicable,Not Applicable,Totally sufficient,Totally sufficient,Not Applicable,A Little,A Good Amount,Not Applicable,Not Applicable,Not Applicable,A Little,A Little,Not Applicable,Fine,Fine,Not Applicable,Not Applicable,Not Applicable,Interesting,Interesting
27/01/2023 09:36:57,Very Difficult,Easy,Moderate,Very Easy,Easy,Moderate,Difficult,Moderate,,2-4,2-4,0-2,0-2,4-6,2-4,4-6,,,,,,,,,Not at all,Totally sufficient,Totally sufficient,Totally sufficient,Totally sufficient,Hardly sufficient,Not at all,Hardly sufficient,A Good Amount,A Good Amount,A Good Amount,Nothing,A Lot,A Good Amount,A Good Amount,A Good Amount,Interesting,Interesting,Interesting,Boring,Interesting,Interesting,Interesting,Interesting
05/02/2023 15:35:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/03/2023 05:25:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2023 11:06:11,Very Difficult,Difficult,Moderate,Difficult,Difficult,Moderate,Difficult,Moderate,4-6,2-4,2-4,4-6,2-4,2-4,2-4,2-4,Very Good,Good,Poor,Poor,Good,Very Good,Good,Normal,Mostly sufficient,Mostly sufficient,Just sufficient,Just sufficient,Mostly sufficient,Mostly sufficient,Mostly sufficient,Just sufficient,A Lot,A Lot,A Good Amount,A Good Amount,A Good Amount,A Good Amount,A Good Amount,A Good Amount,Very Interesting,Very Interesting,Fine,Fine,Interesting,Very Interesting,Interesting,Very Interesting
10/03/2023 16:42:57,,Moderate,,Moderate,,Very Easy,,Easy,,0-2,,2-4,,0-2,,0-2,,Normal,,Very Poor,,Very Poor,,Normal,,Mostly sufficient,,Just sufficient,,Totally sufficient,,Mostly sufficient,,A Little,,Nothing,,Nothing,,A Little,,Fine,,Fine,,Very Boring,,Fine
10/03/2023 16:56:52,Very Difficult,Difficult,Not Applicable,Easy,Not Applicable,Not Applicable,Difficult,Difficult,10+,6-8,Not Applicable,2-4,Not Applicable,Not Applicable,6-8,6-8,Very Good,Very Good,Not Applicable,Very Poor,Not Applicable,Not Applicable,Normal,Normal,Just sufficient,Just sufficient,Not Applicable,Mostly sufficient,Not Applicable,Not Applicable,Hardly sufficient,Hardly sufficient,A Lot,A Good Amount,Not Applicable,A Little,Not Applicable,Not Applicable,A Lot,A Good Amount,Very Interesting,Interesting,Not Applicable,Fine,Not Applicable,Not Applicable,Fine,Fine
